Unnamed: 0,Location,Year,Month,Day,Latitude,Longitude,Country,Region_HiMAP,Type,Impact,Fatalities,Injured,Livestock,Leisure,Remarks,Reference
276,"Rawand (Nusai), Nusai, Badakhshan",2017,1.0,30.0,37.88205998,71.14416998,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
277,"Parabir(Khizraw), Maimai, Badakhshan",2017,2.0,15.0,37.88205998,71.14416998,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
278,"Parabir, Maimai, Badakhshan",2017,2.0,18.0,37.88205998,71.14416998,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
279,"Parabir, Maimai, Badakhshan",2017,2.0,19.0,37.88205998,71.14416998,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
280,"Parabir, Maimai, Badakhshan",2019,1.0,14.0,37.88205998,71.14416998,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
281,"Parabir, Maimai, Badakhshan",2020,1.0,12.0,37.88205998,71.14416998,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
282,"Parabir, Maimai, Badakhshan",2020,1.0,12.0,37.88205998,71.14416998,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
283,"Parabir, Maimai, Badakhshan",2020,1.0,12.0,37.88205998,71.14416998,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
284,"Parabir, Maimai, Badakhshan",2020,1.0,12.0,37.88205998,71.14416998,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
285,"Parabir, Maimai, Badakhshan",2020,1.0,13.0,37.88205998,71.14416998,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
286,"Parabir, Maimai, Badakhshan",2022,1.0,19.0,37.88205998,71.14416998,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
287,"Madakhirs, Maimai, Badakhshan",2018,2.0,15.0,37.891129,71.148026,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
288,"Tupdara 1(DaraiSher), Maimai, Badakhshan",2021,3.0,14.0,37.99264246,71.16121548,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
289,"Dara-e-Sher, Maimai, Badakhshan",2017,2.0,6.0,38.00164835,71.16781936,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
290,"Sanglizh, Zebak, Badakhshan",2017,1.0,30.0,36.30173037,71.18748765,Afghanistan,8.0,slab avalanche,N,0,,0.0,,,AKAH-A
291,"Dara-e-Sher, Maimai, Badakhshan",2017,2.0,16.0,37.95531998,71.20039998,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
292,"Dara-e-Sher, Maimai, Badakhshan",2017,2.0,16.0,37.95531998,71.20039998,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
293,"Dara-e-Sher, Maimai, Badakhshan",2017,2.0,16.0,37.95531998,71.20039998,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
294,"Aylaq-i-Khodun (Tupdara 2)(DaraiSher), Maimai, Badakhshan",2017,1.0,29.0,37.954739,71.20047,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
295,"Aylaq-i-Khodun (Tupdara 2)(DaraiSher), Maimai, Badakhshan",2017,2.0,6.0,37.954739,71.20047,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
296,"Tanshive, Maimai, Badakhshan",2015,4.0,3.0,37.953445,71.201614,Afghanistan,6.0,wet snow avalanche,N,0,,0.0,,,AKAH-A
297,"Sarchashma, Maimai, Badakhshan",2017,2.0,19.0,38.05394852,71.22242925,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
298,"Sarchashma, Maimai, Badakhshan",2017,2.0,15.0,38.05394852,71.22242925,Afghanistan,6.0,slab avalanche,Y,0,6.0,0.0,,6 persons injured,AKAH-A
299,"Sarchashma, Maimai, Badakhshan",2022,3.0,13.0,38.05394852,71.22242925,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
300,"Pitab (Warv), Maimai, Badakhshan",2022,3.0,13.0,38.07309998,71.22765998,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
301,"Dara-e-Sher, Maimai, Badakhshan",2018,2.0,15.0,37.98764765,71.2352556,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
302,"Dara-e-Sher, Maimai, Badakhshan",2019,3.0,28.0,37.98764765,71.2352556,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
303,"Dara-e-Sher, Maimai, Badakhshan",2022,1.0,20.0,37.98764765,71.2352556,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
304,"Dara-e-Sher, Maimai, Badakhshan",2022,3.0,13.0,37.98764765,71.2352556,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
305,"Barghud, Maimai, Badakhshan",2017,2.0,4.0,38.15540589,71.23988017,Afghanistan,6.0,slab avalanche,Y,10,12.0,0.0,,12 persons injured,AKAH-A
306,"Barghud, Maimai, Badakhshan",2018,2.0,15.0,38.15540589,71.23988017,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
307,"Budardha, Ishkashim, Badakhshan",2019,1.0,16.0,38.15540589,71.23988017,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
308,"Barghud, Maimai, Badakhshan",2019,1.0,16.0,38.15540589,71.23988017,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
309,"Barghud, Maimai, Badakhshan",2022,1.0,16.0,38.15540589,71.23988017,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
310,"Barghud, Maimai, Badakhshan",2022,3.0,9.0,38.15540589,71.23988017,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
311,"Barghud, Maimai, Badakhshan",2022,3.0,17.0,38.15540589,71.23988017,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
312,Zhambyl,2017,2.0,17.0,42.915143,71.251291,Kazakhstan,,,Y,7,,,,,https://reliefweb.int/report/tajikistan/deadly-avalanches-hit-central-asia
313,"Eskitol, Zebak, Badakhshan",2015,2.0,26.0,36.4148568,71.27231165,Afghanistan,8.0,slab avalanche,Y,0,1.0,0.0,,1 person injured,AKAH-A
314,"Begaw (Warv), Maimai, Badakhshan",2016,12.0,29.0,38.16416487,71.27446846,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
315,"Begaw, Maimai, Badakhshan",2017,2.0,16.0,38.16416487,71.27446846,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
316,"Begaw, Maimai, Badakhshan",2020,2.0,21.0,38.16416487,71.27446846,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
317,"Begaw, Maimai, Badakhshan",2020,2.0,12.0,38.16416487,71.27446846,Afghanistan,6.0,slab avalanche,Y,0,1.0,0.0,,1 persons injured,AKAH-A
318,"Begaw (Warv), Maimai, Badakhshan",2022,3.0,13.0,38.16416487,71.27446846,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
319,"Yasech, Shuhada, Badakhshan",2022,3.0,19.0,37.05353964,71.28120585,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
320,"Qala, Maimai, Badakhshan",2017,2.0,19.0,38.14023376,71.28578929,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
321,"Rawand (Maimai), Maimai, Badakhshan",2017,1.0,29.0,38.04420291,71.28768752,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
322,"Rawand (Maimai), Maimai, Badakhshan",2017,2.0,16.0,38.04420291,71.28768752,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
323,"Rawand Sharist, Maimai, Badakhshan",2019,1.0,8.0,38.04420291,71.28768752,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
324,"Rawand (Nusai), Nusai, Badakhshan",2019,1.0,9.0,38.04420291,71.28768752,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
325,"Rawand (Nusai), Nusai, Badakhshan",2019,1.0,12.0,38.04420291,71.28768752,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
326,"Rawand (Maimai), Maimai, Badakhshan",2019,3.0,19.0,38.04420291,71.28768752,Afghanistan,6.0,slab avalanche,Y,1,,0.0,,,AKAH-A
327,"Rawand (Maimai), Maimai, Badakhshan",2021,3.0,10.0,38.04420291,71.28768752,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
328,"Rawand (Maimai), Maimai, Badakhshan",2022,2.0,7.0,38.04420291,71.28768752,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
329,"Rawand (Maimai), Maimai, Badakhshan",2022,3.0,8.0,38.04420291,71.28768752,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
330,"Rawand (Maimai), Maimai, Badakhshan",2022,3.0,9.0,38.04420291,71.28768752,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
331,"Rawand (Maimai), Maimai, Badakhshan",2022,3.0,13.0,38.04420291,71.28768752,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
332,"Chasnood Payan, Shighnan, Badakhshan",2017,1.0,28.0,37.92229783,71.28799419,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
333,"Chasnood Payan, Shighnan, Badakhshan",2018,2.0,15.0,37.92229783,71.28799419,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
334,"Chasnood Payan, Shighnan, Badakhshan",2019,4.0,16.0,37.92229783,71.28799419,Afghanistan,6.0,wet snow avalanche,N,0,,0.0,,,AKAH-A
335,"Chasnood Payan, Shighnan, Badakhshan",2021,3.0,10.0,37.92229783,71.28799419,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
336,"Chasnood Payan, Shighnan, Badakhshan",2022,1.0,4.0,37.92229783,71.28799419,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
337,"Chasnood Payan, Shighnan, Badakhshan",2022,3.0,10.0,37.92229783,71.28799419,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
338,"Chasnood Payan, Shighnan, Badakhshan",2022,3.0,11.0,37.92229783,71.28799419,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
339,"Chasnood Payan, Shighnan, Badakhshan",2022,3.0,13.0,37.92229783,71.28799419,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
340,"Chasnood Payan, Shighnan, Badakhshan",2022,3.0,17.0,37.92229783,71.28799419,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
341,"Sadwadg, Maimai, Badakhshan",2022,2.0,7.0,38.01508612,71.28873703,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
342,"Sadwadg, Maimai, Badakhshan",2022,2.0,23.0,38.01508612,71.28873703,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
343,"Sadwadg, Maimai, Badakhshan",2022,3.0,13.0,38.01508612,71.28873703,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
344,"Horan Shahr Bala, Arghanjkhaw, badakhshan",2022,3.0,13.0,37.09024,71.2891,Afghanistan,6.0,slab avalanche,Y,1,1.0,0.0,,1 person injured,AKAH-A
345,"Besta Ched, Shighnan, Badakhshan",2015,2.0,21.0,37.364628,71.304352,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
346,"Dewlagh jamarch bala, Maimai, Badakhshan",2019,2.0,6.0,38.25618162,71.31471543,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
347,"Yarkh, Shighnan, Badakhshan",2018,2.0,15.0,37.90183083,71.31512981,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
348,"Yarkh, Shighnan, Badakhshan",2018,2.0,15.0,37.90183083,71.31512981,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
349,"Yarkh, Shighnan, Badakhshan",2022,2.0,7.0,37.90183083,71.31512981,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
350,"Dara-i-Gushdar-Raghsunyak, Maimai, Badakhshan",2017,1.0,28.0,38.26413891,71.31556917,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
351,"Dara-i-Gushdar-Raghsunyak, Maimai, Badakhshan",2018,2.0,16.0,38.269192,71.324997,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
352,"Shaikha, Shighnan, Badakhshan",2017,2.0,9.0,37.845228,71.33246833,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
353,"Shaikha, Shighnan, Badakhshan",2017,2.0,15.0,37.845228,71.33246833,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
354,"Shaikha, Shighnan, Badakhshan",2017,2.0,15.0,37.845228,71.33246833,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
355,"Shaikha, Shighnan, Badakhshan",2017,2.0,15.0,37.845228,71.33246833,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
356,"Shaikha, Shighnan, Badakhshan",2017,2.0,17.0,37.845228,71.33246833,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
357,"Amurn, Maimai, Badakhshan",2017,1.0,28.0,38.1958237,71.35879966,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
358,"Amurn, Maimai, Badakhshan",2022,3.0,9.0,38.1958237,71.35879966,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
359,"Gharib, Zebak, Badakhshan",2022,3.0,15.0,36.62633978,71.3673664,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
360,"Chawid, Shighnan, Badakhshan",2017,2.0,15.0,37.90039512,71.37838734,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
361,"Chawid, Shighnan, Badakhshan",2018,2.0,15.0,37.90039512,71.37838734,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
362,"Zwardara, Ishkashim, Badakhshan",2021,3.0,28.0,37.15763058,71.40714507,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
363,"Arakht, Shighnan, Badakhshan",2015,2.0,24.0,37.37671504,71.41200779,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
364,"Arakht, Shighnan, Badakhshan",2017,1.0,30.0,37.37671504,71.41200779,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
365,"Arakht, Shighnan, Badakhshan",2017,2.0,16.0,37.37671504,71.41200779,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
366,"Arakht, Shighnan, Badakhshan",2017,2.0,18.0,37.37671504,71.41200779,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
367,"Arakht, Shighnan, Badakhshan",2017,2.0,18.0,37.37671504,71.41200779,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
368,"Arakht, Shighnan, Badakhshan",2017,2.0,18.0,37.37671504,71.41200779,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
369,"Arakht, Shighnan, Badakhshan",2017,2.0,18.0,37.37671504,71.41200779,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
370,"Arakht, Shighnan, Badakhshan",2018,2.0,15.0,37.37671504,71.41200779,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
371,"Arakht, Shighnan, Badakhshan",2018,2.0,15.0,37.37671504,71.41200779,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
372,"Arakht, Shighnan, Badakhshan",2018,2.0,16.0,37.37671504,71.41200779,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
373,"Arakht, Shighnan, Badakhshan",2018,2.0,16.0,37.37671504,71.41200779,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
374,"Arakht, Shighnan, Badakhshan",2018,2.0,16.0,37.37671504,71.41200779,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
375,"Arakht, Shighnan, Badakhshan",2018,2.0,16.0,37.37671504,71.41200779,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
376,"Arakht, Shighnan, Badakhshan",2019,1.0,16.0,37.37671504,71.41200779,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
377,"Arakht, Shighnan, Badakhshan",2019,4.0,3.0,37.37671504,71.41200779,Afghanistan,6.0,wet snow avalanche,Y,0,,42.0,,,AKAH-A
378,"Arakht, Shighnan, Badakhshan",2020,12.0,28.0,37.37671504,71.41200779,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
379,"Arakht, Shighnan, Badakhshan",2021,2.0,9.0,37.37671504,71.41200779,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
380,"Arakht, Shighnan, Badakhshan",2021,3.0,28.0,37.37671504,71.41200779,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
381,"Arakht, Shighnan, Badakhshan",2022,1.0,5.0,37.37671504,71.41200779,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
382,"Arakht, Shighnan, Badakhshan",2022,2.0,6.0,37.37671504,71.41200779,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
383,"Arakht, Shighnan, Badakhshan",2022,2.0,22.0,37.37671504,71.41200779,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
384,"Arakht, Shighnan, Badakhshan",2022,2.0,22.0,37.37671504,71.41200779,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
385,"Arakht, Shighnan, Badakhshan",2022,3.0,3.0,37.37671504,71.41200779,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
386,"Arakht, Shighnan, Badakhshan",2022,3.0,12.0,37.37671504,71.41200779,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
387,"Arakht, Shighnan, Badakhshan",2022,3.0,15.0,37.37671504,71.41200779,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
388,"Arakht, Shighnan, Badakhshan",2022,3.0,16.0,37.37671504,71.41200779,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
389,"Showaldara, Ishkashim, Badakhshan",2017,1.0,28.0,36.66453431,71.424921,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
390,"Showaldara, Ishkashim, Badakhshan",2019,2.0,11.0,36.66453431,71.424921,Afghanistan,6.0,slab avalanche,Y,1,,0.0,,,AKAH-A
391,"Darmadar, Ishkashim, Badakhshan",2022,3.0,12.0,37.2183507,71.4280947,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
392,"Zich, Ishkashim, Badakhshan",2015,2.0,16.0,37.07705215,71.42827557,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
393,"Zich, Ishkashim, Badakhshan",2015,4.0,1.0,37.07705215,71.42827557,Afghanistan,6.0,wet snow avalanche,N,0,,0.0,,,AKAH-A
394,"Zich, Ishkashim, Badakhshan",2017,1.0,29.0,37.07705215,71.42827557,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
395,"Zich, Ishkashim, Badakhshan",2017,3.0,20.0,37.07705215,71.42827557,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
396,"Zich, Ishkashim, Badakhshan",2019,1.0,5.0,37.07705215,71.42827557,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
397,"Zich, Ishkashim, Badakhshan",2019,1.0,15.0,37.07705215,71.42827557,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
398,"Zich, Ishkashim, Badakhshan",2019,1.0,15.0,37.07705215,71.42827557,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
399,"Zich, Ishkashim, Badakhshan",2019,1.0,15.0,37.07705215,71.42827557,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
400,"Zich, Ishkashim, Badakhshan",2019,1.0,15.0,37.07705215,71.42827557,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
401,"Zich, Ishkashim, Badakhshan",2021,3.0,18.0,37.07705215,71.42827557,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
402,"Zich, Ishkashim, Badakhshan",2022,1.0,30.0,37.07705215,71.42827557,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
403,"Zich, Ishkashim, Badakhshan",2022,3.0,9.0,37.07705215,71.42827557,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
404,"Zich, Ishkashim, Badakhshan",2022,3.0,12.0,37.07705215,71.42827557,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
405,"Zich, Ishkashim, Badakhshan",2022,3.0,6.0,37.07705215,71.42827557,Afghanistan,6.0,slab avalanche,Y,1,3.0,13.0,,3 persons injured,AKAH-A
406,"Woned, Ishkashim, Badakhshan",2019,1.0,16.0,37.20888504,71.43451109,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
407,"Gharjween, Shighnan, Badakhshan",2017,2.0,18.0,37.47324555,71.43765879,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
408,"Safidsang, Ishkashim, Badakhshan",2019,2.0,14.0,37.21621746,71.43848157,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
409,"Yazgam, Shighnan, Badakhshan",2015,2.0,21.0,37.53808148,71.44571624,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
410,"Yazgam, Shighnan, Badakhshan",2017,1.0,28.0,37.53808148,71.44571624,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
411,"Yazgam, Shighnan, Badakhshan",2017,2.0,16.0,37.53808148,71.44571624,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
412,"Yazgam, Shighnan, Badakhshan",2017,2.0,16.0,37.53808148,71.44571624,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
413,"Yazgam, Shighnan, Badakhshan",2017,2.0,16.0,37.53808148,71.44571624,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
414,"Yazgam, Shighnan, Badakhshan",2017,2.0,16.0,37.53808148,71.44571624,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
415,"Yazgam, Shighnan, Badakhshan",2018,2.0,15.0,37.53808148,71.44571624,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
416,"Yazgam, Shighnan, Badakhshan",2018,2.0,16.0,37.53808148,71.44571624,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
417,"Yazgam, Shighnan, Badakhshan",2019,1.0,8.0,37.53808148,71.44571624,Afghanistan,6.0,slab avalanche,N,0,,0.0,,,AKAH-A
